Observations,Brand preferences,Total sales,Fuel types,trim,body,transmission
1/1/1976,Toyot+B2:B85a,8.944,Gasoline,LX,SUV,automatic
1/1/1976,Suzuki,8.944,Gasoline,LX,SUV,automatic
1/1/1976,Tata motors,8.944,Ethanol,328i SULEV,Sedan,automatic
1/1/1976,Mahindra,9.055,Ethanol,T5,Sedan,automatic
2/1/1976,Toyota,9.055,Ethanol,650i,Sedan,automatic
2/1/1976,Suzuki,9.055,Diesel,2.5 S,Sedan,automatic
2/1/1976,Mahindra,9.055,Diesel,Base,Sedan,automatic
2/1/1976,Hyundai,9.223,Gasoline,1LT,Sedan,automatic
3/1/1976,Nissan,9.223,Gasoline,2.0T Premium Plus quattro,Sedan,automatic
3/1/1976,Nissan,9.223,Gasoline,LT,Convertible,automatic
3/1/1976,Mahindra,9.379,Bio Diesel,3.0T Prestige quattro,Sedan,automatic
3/1/1976,Suzuki,9.379,Ethanol,LX,Sedan,automatic
4/1/1976,Xiaomi,9.379,Bio Diesel,SE,Sedan,automatic
4/1/1976,Tesla,9.418,Bio Diesel,LX,SUV,automatic
4/1/1976,BYD,9.418,Ethanol,2LT,Sedan,automatic
4/1/1976,Kia Corporation,9.418,Gasoline,2.5 S,Sedan,automatic
5/1/1976,Toyota,9.418,Gasoline,SE,Sedan,automatic
5/1/1976,Suzuki,9.494,Gasoline,2.0T Premium Plus quattro,SUV,automatic
5/1/1976,Tata motors,9.494,Ethanol,LS,Coupe,automatic
5/1/1976,Mahindra,9.494,Ethanol,650i,Convertible,automatic
6/1/1976,Toyota,9.494,Ethanol,LTZ,Sedan,automatic
6/1/1976,Suzuki,9.535,Diesel,528i,Sedan,automatic
6/1/1976,Mahindra,9.535,Diesel,LT,Convertible,automatic
6/1/1976,Hyundai,9.535,Gasoline,1.8 TFSI Premium,Sedan,automatic
7/1/1976,Nissan,9.54,Gasoline,650i,Convertible,automatic
7/1/1976,Nissan,9.54,Gasoline,SE,Sedan,automatic
7/1/1976,Mahindra,9.54,Bio Diesel,T6,Wagon,automatic
7/1/1976,Suzuki,9.54,Ethanol,T6,Wagon,automatic
7/1/1976,Toyota,9.613,Ethanol,sDrive35i,SUV,automatic
7/1/1976,Suzuki,9.613,Diesel,LT,Coupe,automatic
7/1/1976,Mahindra,9.613,Diesel,1LT,Sedan,automatic
8/1/1976,Xiaomi,9.613,Bio Diesel,3.0T Premium Plus quattro,SUV,automatic
8/1/1976,Tesla,9.747,Bio Diesel,LX,SUV,automatic
8/1/1976,BYD,9.747,Ethanol,Premium Plus quattro,Coupe,automatic
8/1/1976,Kia Corporation,9.747,Gasoline,LX,SUV,automatic
8/1/1976,Hyundai,9.747,Gasoline,Convenience Group,Sedan,
8/1/1976,Nissan,9.748,Gasoline,LTZ,SUV,automatic
8/1/1976,Nissan,9.748,Gasoline,328i SULEV,Sedan,automatic
8/1/1976,Mahindra,9.748,Bio Diesel,Base,Sedan,automatic
9/1/1976,Toyota,9.759,Gasoline,328i SULEV,Sedan,automatic
9/1/1976,Suzuki,9.759,Gasoline,Base,Coupe,automatic
9/1/1976,Tata motors,9.759,Ethanol,SE,Sedan,automatic
9/1/1976,Mahindra,9.759,Ethanol,650i,Convertible,automatic
9/1/1976,Suzuki,9.786,Ethanol,T5,Wagon,automatic
9/1/1976,Xiaomi,9.786,Bio Diesel,1LT,Sedan,
9/1/1976,Tesla,9.786,Bio Diesel,xDrive35i,SUV,automatic
9/1/1976,BYD,9.947,Ethanol,T5,Wagon,automatic
9/1/1976,Kia Corporation,9.947,Gasoline,2LT,Sedan,automatic
1/1/1977,Toyota,9.947,Gasoline,Technology Package,Sedan,automatic
1/1/1977,Suzuki,9.947,Gasoline,LX,SUV,automatic
1/1/1977,Tata motors,10.14,Ethanol,T5,Wagon,automatic
1/1/1977,Mahindra,10.14,Ethanol,2.5 S,Sedan,automatic
2/1/1977,Toyota,10.14,Ethanol,650i,Sedan,automatic
2/1/1977,Suzuki,10.14,Diesel,2.5 S,Sedan,automatic
2/1/1977,Mahindra,10.149,Diesel,Luxury,Sedan,automatic
2/1/1977,Hyundai,10.149,Gasoline,LX,SUV,automatic
3/1/1977,Nissan,10.149,Gasoline,LT,Sedan,automatic
3/1/1977,Nissan,10.176,Gasoline,Base,SUV,automatic
3/1/1977,Mahindra,10.176,Bio Diesel,LX,SUV,automatic
3/1/1977,Suzuki,10.176,Ethanol,Base,Sedan,automatic
4/1/1977,Xiaomi,10.285,Bio Diesel,Luxury,Sedan,automatic
4/1/1977,Tesla,10.285,Bio Diesel,1.8 TFSI Premium,Sedan,automatic
4/1/1977,BYD,10.285,Ethanol,1.6 SL,Sedan,manual
4/1/1977,Kia Corporation,10.285,Gasoline,LT,Coupe,automatic
5/1/1977,Toyota,10.315,Gasoline,SE,Sedan,automatic
5/1/1977,Suzuki,10.315,Gasoline,LX,SUV,automatic
5/1/1977,Tata motors,10.315,Ethanol,LT,Coupe,automatic
5/1/1977,Mahindra,10.354,Ethanol,1.8 TFSI Premium,Sedan,automatic
6/1/1977,Toyota,10.354,Ethanol,650i,Convertible,automatic
6/1/1977,Suzuki,10.354,Diesel,1.6 SV,Hatchback,automatic
6/1/1977,Mahindra,10.354,Diesel,L 3.0T quattro,Sedan,automatic
6/1/1977,Hyundai,10.383,Gasoline,sDrive28i,SUV,automatic
